gene study_attention
399687 11
10838 18
10250 12
10630 38
92822 5
283537 1
5150 1
4938 1
8799 62
55247 59
9097 7
102800317 3
346562 3
55810 73
51083 42
64005 28
55741 6
114960 9
55610 15
57862 3
6804 8
26057 64
100287171 19
56259 16
3357 15
257194 34
79888 72
7803 4
11226 5
861 9
6397 27
3309 24
6524 28
83650 55
170960 14
5414 1
9462 18
8688 17
199990 40
8092 162
283471 12
7348 39
8292 5
5328 13
25942 1
9767 3
51611 11
85027 7
64319 3
7576 18
8669 38
23112 2
83696 1
4234 3
1487 75
10363 11
6013 5
2014 41
57654 3
6596 34
159091 1
51322 61
7498 134
8898 34
8667 7
199745 45
8636 27
7216 6
8031 12
7203 21
5585 1
348180 19
9570 33
3183 8
80864 283
55125 1
55227 1
100130613 1
150221 21
7441 16
5980 45
9929 31
10295 13
9496 1
55204 16
7718 48
2035 18
25825 6
84622 54
8440 10
1850 1
8772 52
25817 1
55705 2
162993 39
143425 67
963 1
7531 1
79171 88
23244 103
730112 2
6811 51
3170 4
229 33
6291 1
9757 24
57591 3
2209 1
403 1
26233 1
64231 8
23529 4
55040 9
5635 22
140850 22
5699 2
3004 1
5494 79
9945 21
3831 64
653781 1
653857 6
283659 1
54951 21
10652 4
10200 1
28986 1
3780 5
55677 29
1007 1
9086 1
6398 16
283489 34
285 108
4836 1
54432 14
142689 2
64321 189
718 3
81892 1
9744 67
7046 1
84197 50
3700 2
6819 3
84186 76
5933 180
2963 60
1290 59
84875 21
2030 80
84659 11
7980 19
51308 2
4115 50
80726 2
79042 35
285242 26
54934 10
9044 4
349136 2
3992 8
4604 27
64073 24
2548 2
55669 10
57338 1
57231 9
23369 62
10396 11
6159 3
387264 3
80108 4
9095 3
8050 44
5004 27
8453 33
25912 10
84548 1
259230 18
28951 1
11080 8
26005 11
6929 27
29107 9
401138 34
8322 34
9938 9
57182 6
10350 40
81579 35
989 8
728833 18
79027 46
124936 2
1386 4
23632 24
8823 29
148113 40
55171 1
84337 4
10489 23
283 21
65986 1
22827 2
56941 30
10477 41
22981 14
152926 56
7375 4
26086 4
286151 17
9909 1
5728 13
57704 1
400258 16
84516 1
11227 21
108 10
27095 10
29954 6
29851 1
127495 16
8655 2
8641 37
6285 10
222894 11
7404 14
91694 18
7014 9
51366 1
10718 374
168850 1
64786 27
57602 44
2547 1
339448 20
8569 34
81624 16
28988 33
100287932 11
221927 10
23288 3
8335 3
3012 13
29097 1
10564 2
1370 2
54577 28
7054 3
633 149
7545 16
91607 1
2222 203
7166 31
90673 8
84988 4
8562 12
8404 1
162073 19
55 123
79370 2
84226 43
4635 104
6399 1
115209 9
54925 2
55454 81
7087 181
10343 34
400830 1
6693 1
56204 28
337969 2
347730 1
8497 45
27042 11
5782 44
147007 20
26973 1
27434 1
3092 1
10107 16
27013 1
57604 12
164 16
161882 1
5430 4
81616 55
79879 23
9454 11
6322 2
440068 94
8027 51
64850 64
1595 1
10087 15
10174 45
80025 37
5431 35
29088 169
84886 10
3853 27
56063 22
9727 22
57224 39
1191 17
5619 3
54487 20
50512 31
100529239 11
387680 28
84255 2
10114 9
55690 20
23385 3
153364 109
1325 5
100526760 2
23583 7
79137 1
54927 5
84132 51
123722 4
7535 1
2296 3
154865 1
5396 19
151647 116
55015 1
644 3
56947 1
25803 24
11200 33
9775 1
10505 76
126789 14
2583 1
79831 1
80178 11
285440 8
340390 43
5008 38
814 2
440026 20
2047 49
58489 1
80821 47
285636 7
55062 1
57396 24
51298 1
51678 5
83986 2
79658 1
3883 1
131544 5
55223 85
55651 3
55653 6
25831 101
10806 23
4731 1
644524 17
2764 1
3831 1
1666 13
51023 26
4298 133
140739 15
11341 8
26007 33
22933 14
91409 46
6431 18
23580 10
1271 1
900 122
25813 1
8334 113
3346 4
8436 12
5455 1
53940 26
6611 20
89958 20
8859 14
340527 69
57727 34
81532 2
11240 1
2070 43
55064 27
10916 77
143570 27
5224 94
6991 2
254863 13
283807 47
8038 56
55061 2
114788 51
92483 13
64979 1
58472 115
9453 15
10325 101
79921 186
25782 1
6792 8
54734 15
94233 5
440295 9
9213 10
219541 2
10865 1
7597 8
136332 7
9989 5
29117 5
22875 1
80851 5
52 3
55317 12
2805 14
55754 2
326624 16
8742 7
407977 8
113452 4
11171 10
51182 2
80332 25
192683 21
79698 13
4848 1
92235 26
165324 31
55508 2
348174 3
51174 2
5888 1
140628 25
11136 30
1030 9
2134 4
24139 7
100132285 47
5023 29
256380 34
79830 18
1690 1
1879 7
146853 22
340595 25
166968 4
128240 1
4153 13
54664 2
55225 6
7328 21
11252 20
124411 8
92162 41
91464 30
135112 20
91949 1
196740 3
4799 3
117283 1
1786 1
4149 11
56547 1
149951 11
341 1
5471 44
200844 36
3757 1
8493 10
23560 2
65108 2
23172 26
161142 28
5134 24
3676 16
64926 9
58508 14
57670 2
6827 12
10324 22
55172 4
5798 216
2354 30
3338 1
10063 129
805 1
808 35
196051 122
6712 30
641372 2
1124 7
51475 20
1374 37
10803 10
137075 1
56101 27
339 1
57526 2
8601 1
221935 42
79080 2
23102 7
95 18
57560 65
54902 16
10579 40
3795 26
51433 20
6138 72
2104 1
116173 12
84570 24
10196 11
6616 2
3659 4
1794 85
23786 7
84616 1
8208 3
11156 20
64773 6
2935 7
22796 22
10056 15
2280 5
90423 1
10539 35
1828 1
115106 15
27288 6
2813 9
8694 1
200734 1
11213 8
64770 3
253959 5
58513 6
286077 1
28962 4
166979 1
311 31
1583 2
26046 2
118460 11
3779 6
79648 9
3381 21
11282 8
2515 6
1655 30
11335 30
3725 2
6385 3
57405 97
81493 14
1854 14
10558 4
5354 30
5600 7
11054 1
27347 3
10158 8
3552 40
285605 1
6988 29
10216 30
4214 2
10628 12
10253 28
57820 24
90799 17
10606 17
64601 11
5962 12
6439 68
256302 27
154313 1
5473 26
128977 1
22907 17
55040 3
90135 34
4060 23
10491 2
10562 15
29992 33
3234 1
56999 18
80067 1
55632 2
64960 8
113201 3
171017 41
79632 4
116228 19
200316 19
79152 1
5901 8
51592 19
2626 71
138162 7
10771 17
256051 1
51203 73
6091 45
7515 134
4857 1
9521 1
221092 15
57337 2
5721 43
7903 61
309 62
4673 27
9577 106
3446 9
164395 24
26523 25
314 27
834 3
3550 8
9425 1
3927 1
285193 38
6118 123
4215 22
728489 1
79576 8
285555 33
5015 7
11176 3
6311 12
1486 27
55586 46
8022 7
4974 29
84251 19
222234 4
5763 57
4335 20
7486 1
80772 10
375248 2
27185 1
51294 6
159963 7
170591 1
127262 1
10144 1371
4282 18
7263 30
1496 41
1039 1
10169 33
653319 94
7178 18
153339 6
5822 17
3875 72
11077 6
163859 6
79612 7
23532 2
373509 120
54677 21
84448 86
29979 12
285282 29
3080 51
8936 1
375337 38
125981 2
11040 1
64779 9
1291 59
55349 29
9328 41
8913 92
3386 23
337867 9
222255 8
9053 21
11065 50
5449 2
773 7
83659 1
283518 4
51427 4
270 56
3693 3
93100 5
27180 9
2010 32
11101 7
3055 28
55577 74
7570 1
54436 4
5340 2
134218 1
134429 2
199223 17
5229 4
2969 11
26000 15
81552 1
54498 11
64499 29
7177 34
2949 10
85481 28
54870 65
128869 16
4919 5
57109 31
158358 3
9223 1
255798 5
79075 184
10251 5
7326 1
123169 21
348995 52
56521 31
8110 131
378949 2
5940 85
81037 2
64221 19
5459 60
3854 3
2299 35
2815 9
84985 53
10557 3
1650 2
23399 69
84993 2
126017 2
23347 2
9060 7
6638 5
8926 2
29089 32
6441 1
4076 2
293 656
3481 18
149018 1
10179 10
339302 1
79915 1
10327 1
147694 18
23215 40
57102 1
22948 4
55250 2
2903 18
342667 1
1826 104
51000 5
1140 1
10486 1
778 1
27338 30
10424 57
26058 285
56943 4
83999 5
623 31
6637 21
51742 8
84626 5
29945 198
79139 29
26577 2
23643 42
9557 1
5424 4
57119 1
100526773 18
729991 3
27074 21
25758 15
158763 13
80781 2
57570 9
84879 20
11332 6
84648 4
152573 31
3815 3
1964 1
79643 13
158055 90
124454 26
825 5
79913 8
1460 13
439921 6
57465 8
4994 13
83887 1
5872 150
9410 26
55212 87
84707 62
285704 23
29888 1
8574 11
64581 9
2539 6
79583 3
344022 5
51585 53
23164 3
57698 16
11157 6
3572 15
619279 11
8536 11
116379 66
5429 17
10022 24
60343 32
196472 3
6242 61
58490 5
2767 16
6014 27
3860 1
8972 30
57082 27
27095 15
282617 33
8813 27
8317 17
167153 2
219833 5
6135 44
91133 38
51319 7
162681 29
2588 30
116832 1
27301 12
3032 18
10659 3
26986 18
6595 6
200916 1
1303 1
6389 3
5671 2
7805 31
154810 1
91614 10
80022 14
56413 4
442868 100
9083 11
442867 2
54969 5
416 2
55260 26
2519 5
123103 1
785 10
9687 4
4939 3
283152 1
51058 1
25929 2
4009 24
4594 2
11100 18
4673 74
5646 1
5730 12
6490 1
78986 2
2215 32
286827 41
84162 40
84059 23
57616 31
137835 8
149986 8
80731 5
439996 45
151903 48
3003 2
1973 8
11258 63
4909 2
57592 12
4004 26
9859 4
29100 2
7434 37
57446 48
5775 7
10156 6
9332 24
4258 14
64062 1
23196 4
56995 2
522 6
154091 42
6633 3
254531 4
51752 13
6335 1
8906 1
64425 1
399671 8
8867 1
7262 1
84867 65
90326 84
10407 1
653423 4
9607 30
253980 2
128272 47
91252 13
171024 29
55311 30
57580 11
55006 58
384 12
6733 3
284680 25
9861 34
79959 14
4099 18
29927 17
64864 3
185 21
53347 1
35 53
399665 1
55054 19
158297 7
51270 53
100529261 8
2342 5
84934 44
79691 1
440503 6
56655 34
58506 24
112479 2
27202 1
252995 39
80824 5
866 6
4134 1
5245 11
140690 7
4715 8
9656 28
9427 1
80011 14
9375 68
2326 5
6319 2
939 45
2702 12
6603 2
645073 169
100008586 9
2579 31
26748 20
5906 5
5371 2
126208 46
79097 1
3419 4
6942 4
10113 2
6521 19
54832 28
56919 13
8997 12
57106 13
246269 5
1854 20
57217 6
58511 1
284110 1
9793 1
22913 1
2182 1
119180 2
386678 9
386676 13
10237 23
57187 49
2353 12
493869 13
151254 1
2535 21
23633 5
403341 20
9290 35
6648 6
10052 21
55715 1
337879 7
7004 22
91404 1
51507 60
51296 36
51642 5
195827 28
388677 111
4700 168
2286 3
342132 94
25798 3
5789 26
55907 5
114791 1
27089 26
55707 34
51213 40
388951 6
113189 57
80168 55
51300 3
54905 70
5644 8
6167 11
9488 1
390664 2
93109 37
200942 1
114786 1
3916 4
1419 29
11270 3
83483 2
343930 3
342892 24
29089 6
6710 7
6923 4
3560 35
11277 7
222642 233
3782 5
3712 88
1350 13
92359 89
26137 110
28989 2
10444 1
55131 9
54963 1
23294 78
5092 9
2631 10
139322 39
23087 46
51780 25
10360 52
11009 4
284306 6
128061 10
116966 6
87 11
56123 29
9284 3
642799 70
286343 1
23286 8
11130 30
7411 3
667 4
9094 1
286 15
27345 1
57047 157
5031 8
23513 33
284217 8
8550 6
11166 45
1937 26
100271927 27
54869 4
5130 2
91298 24
3603 83
56159 54
5649 3
79884 1
3756 15
6128 30
346 16
149563 11
4852 16
9194 10
7409 3
5184 16
8507 23
5587 9
23746 19
2137 3
2356 20
24140 8
63982 10
116985 76
85016 25
9475 34
23268 54
57184 223
9208 20
7296 2
340542 14
8829 154
389 55
92370 3
51692 13
23383 53
33 13
54810 2
378884 39
136051 14
7993 2
5329 34
6747 76
9439 44
8030 23
285641 14
54820 8
669 29
9379 1
495 217
5073 62
4670 7
7227 2
114826 79
29760 1
7226 2
23787 55
340146 1
1327 16
28991 28
25921 30
22902 20
712 20
64064 3
55540 56
56257 5
10563 1
644890 1
1445 119
113251 1
389072 6
9500 12
2582 7
56917 1
155465 6
1287 3
163081 2
23452 319
221472 1
1499 60
57545 7
11155 28
7571 1
6165 20
84675 17
653404 58
80347 4
23648 2
10420 55
84513 1
994 4
6550 1
23040 5
189 24
100529215 9
7730 9
462 22
54763 66
79862 13
7098 25
3622 55
55959 51
29906 37
79568 56
25820 20
1917 14
9509 20
875 10
102724560 12
661 1
26608 82
1639 1
6273 7
339665 1
653583 13
27242 12
9582 43
25890 94
23093 1
58500 1
6518 2
55808 2
55666 62
6790 120
3009 1
6224 20
23204 3
353323 13
8402 374
5801 1
149708 21
285335 2
163126 8
57480 1
5565 150
64648 1
191 8
10066 24
7168 1
55536 1
91869 81
10898 62
4983 1
55314 4
55191 5
7033 2
84905 23
11051 5
23553 4
22948 17
144404 4
84696 1
1736 6
137362 9
1997 2
128408 18
466 24
5318 7
390212 112
285016 6
2635 16
7799 5
158399 20
152002 13
84775 10
10576 19
23769 1
1833 17
1489 32
6532 1
3159 27
3903 7
169270 37
166929 11
29106 6
29099 18
54973 6
28231 13
79930 14
8178 65
51531 24
1269 1
169522 65
1314 1
55187 34
4357 11
79791 7
158800 1
140597 1
55890 11
55603 17
9448 93
98 19
5806 2
280664 10
146562 1
55698 17
123591 2
23085 118
79133 15
56300 12
11194 16
8773 11
171177 17
127124 22
1369 35
2543 5
127428 1
3712 1
58486 19
3645 19
5564 5
27324 158
10201 3
6713 22
55089 33
121793 45
2922 3
22806 3
83442 5
2206 3
143241 36
78987 5
578 22
4088 1
1297 174
9620 24
100507290 19
4288 1
4884 1
54165 41
56931 1
81551 11
3754 2
55884 22
389396 1
5580 6
4157 37
116835 17
54751 10
80153 55
84188 43
155054 14
7072 30
55957 17
22836 2
5412 78
57129 78
23534 93
79092 15
376267 17
10111 25
341032 14
285172 1
2799 16
6480 15
3975 15
3184 20
55220 9
140893 13
349149 1
3200 13
114026 108
2192 20
140612 1
9775 1
91703 1
84750 29
23432 48
115330 81
113235 122
5077 41
29998 22
5957 5
159195 1
64582 6
55435 14
79634 181
122786 2
653361 41
10184 10
51548 1
5931 70
56945 2
1066 1
114792 2
8945 7
54875 16
1315 3
57719 12
28977 2
64598 2
55101 2
8519 68
498 1
4284 2
208 3
55815 5
56704 1
4283 24
2149 69
57611 192
84102 1
22868 3
119559 3
5552 13
221178 5
1825 4
7726 1
60 17
386681 2
3048 1
84749 2
55661 2
80714 47
154043 3
79998 1
7574 9
3693 7
3312 1
222696 17
126272 44
55340 4
84256 36
8031 27
91893 28
23526 24
79837 4
55361 59
4207 12
100271849 6
51338 20
29803 1
114932 12
8309 1
53635 47
9477 26
84752 3
9669 17
55515 1
53919 25
2653 25
284106 12
65267 44
50 43
10985 4
3858 18
54994 40
125919 1
64951 2
9306 5
89891 3
50859 23
27303 15
23384 1
79788 4
3125 177
143503 3
279 5
126006 8
85459 15
51109 1
10965 35
29078 1
10282 169
53371 5
56981 1
23361 34
53832 19
221443 25
51409 148
27287 6
55527 12
5116 12
200205 448
79159 33
57463 215
5144 7
80227 27
1875 9
23682 1
1031 35
3091 1
51705 1
788 42
4254 1
100289187 11
2688 1
23276 12
283431 41
56061 19
494143 1
348378 5
84869 38
340706 26
10512 1
5121 4
6822 68
57577 68
9024 2
779 4
440699 62
245929 1
112495 1
2790 5
23038 16
9501 16
22934 6
55294 1
5298 17
23089 10
23555 2
29015 4
1384 2
253827 56
2658 5
23524 1
2887 1
23637 18
6992 2
55275 22
9318 1
283373 2
22929 1
146198 15
8796 15
859 5
1173 1
1540 121
9446 3
256957 4
3175 1
90324 5
64753 55
84864 51
1476 10
29916 70
168374 6
10488 49
83894 10
9667 7
340554 135
7045 6
64333 52
1789 1
10078 2
9170 3
2187 1
9370 16
80324 2
79956 3
60491 2
1838 40
148581 26
116984 2
4640 54
8839 69
9805 7
1993 6
116983 32
3134 27
54849 14
3739 15
2697 13
81626 4
7043 56
11202 180
10811 389
55188 1
10128 33
9911 47
79101 63
837 16
54623 2
196883 5
196996 47
9786 409
388325 23
56253 13
11161 1
9860 61
6746 19
9741 3
204851 8
2744 14
9474 26
100288966 17
317754 8
347516 41
64063 20
91734 47
114294 3
27173 17
60686 125
114880 2
6222 28
10692 42
23518 2
26118 1
60684 11
160065 90
388662 5
83937 2
55872 54
10452 35
84101 37
55249 3
7805 35
7275 22
55161 23
79786 2
3700 5
148979 55
23315 1
128553 3
2909 1
54732 2
7881 2
7007 10
55095 15
4107 1
653820 1
2780 15
220869 13
3105 48
121512 4
54896 2
4293 65
29982 1
598 27
9140 33
4958 3
10670 24
7403 86
4695 17
643394 44
254158 17
9331 66
84131 61
147744 17
5111 24
147920 8
10062 1
3718 44
119395 2
9328 1
79674 13
130355 4
219699 1
9361 82
7541 3
5803 17
55110 9
375035 3
25959 1
162998 3
728373 3
728379 2
728400 5
728393 2
728405 8
728419 3
728369 4
7305 2
2331 2
225 2
9238 7
6156 1
7170 2
80023 4
4037 11
780 26
51160 13
2926 28
84960 59
643836 1
127703 23
26290 61
23471 4
9147 10
2244 39
90459 2
4908 1
83901 36
5878 34
115426 8
8559 16
2966 1
23544 25
9879 25
84279 27
10447 16
2731 12
51280 4
342035 36
988 1
200186 1
92399 1
8773 31
1576 10
6239 1
5787 1
4690 3
83933 19
10960 78
54768 20
8532 13
79850 25
10525 16
63916 166
128710 1
10369 46
284349 1
9203 2
6300 2
4162 13
3516 30
286887 64
10741 6
122553 13
10267 3
340596 18
374897 55
5708 84
11034 68
9852 68
55149 2
11178 2
3781 1
2334 5
143384 15
283377 105
85452 3
9665 17
118461 34
10715 5
10954 35
1136 2
29915 4
79711 1
5581 15
122953 48
351 8
7071 1
10915 1
25888 17
10904 53
81490 37
9647 33
159 5
1618 3
80306 6
79844 8
27091 1
80237 1
55218 2
116138 2
54784 5
51654 5
3030 15
5799 48
51307 5
55974 3
29946 2
4904 43
283985 1
55623 1
7789 1
8776 12
51592 26
30061 24
2885 1
26232 24
5122 43
8890 1
11119 4
64210 12
55752 6
8736 10
80301 4
2054 1
84084 6
4621 2
142891 45
5908 11
7067 22
200728 14
8642 1
3098 1
8506 32
29999 19
159371 2
254295 2
129880 2
284451 20
10157 7
100316904 31
56829 2
83985 1
55506 4
3839 13
23363 2
11249 7
57644 1
11283 74
9646 4
51341 10
11113 1
123283 27
29993 70
347344 57
170685 4
2934 15
145873 4
1511 18
10399 30
9187 1
9527 1
5138 2
285141 4
9076 1
10202 12
51734 377
3820 4
10979 27
758 45
51372 1
10419 1
51434 1
55773 37
4478 2
151176 5
9814 1
2787 9
84215 60
4249 50
7755 5
79029 7
64232 80
51010 27
220988 216
23365 1
23671 1
22829 6
55328 11
150465 2
79586 2
57415 1
653464 139
9859 1
57409 8
143162 3
84292 1
137868 61
22995 23
3727 28
9341 18
475 73
222389 1
8831 2
84948 16
54984 102
91419 6
150771 6
144501 81
273 1
2140 39
29785 85
7454 13
79895 4
5716 22
222194 5
4704 69
23338 13
158248 116
51166 1
5591 632
60528 23
4311 24
2046 5
353299 1
112858 13
10775 7
134510 211
8638 23
55146 2
55745 12
55022 2
55207 2
1738 1
55815 53
653689 11
3195 27
55038 8
3767 12
51233 1
10920 26
826 12
2564 16
348 110
140545 39
7407 2
2840 14
285268 3
283899 5
255877 18
5042 172
79172 23
3054 47
10809 21
93058 100
27290 2
8639 4
5157 3
54539 18
3753 4
7704 1
995 12
84106 6
342371 6
4601 19
221749 3
7780 31
488 37
56163 41
79731 10
5910 15
10772 510
26135 14
54540 22
9118 20
5673 17
7343 5
7018 17
23236 13
4352 1
112609 54
9734 12
79669 39
2820 18
8553 18
9698 45
3190 18
11224 18
3547 1
22887 6
6430 17
65220 4
7978 54
4608 307
2947 19
6853 10
5532 4
254394 20
1366 68
388569 3
57787 756
10134 28
158521 1
6421 1
7709 4
753 41
10520 16
6048 1
4917 16
4636 17
83394 58
162967 4
347741 17
222967 1
9778 1
25987 21
10921 403
387755 3
2806 1
51449 14
79890 3
55342 6
57661 2
4998 18
51181 6
3660 8
11051 1
79810 129
154007 11
10055 100
23550 1
29122 47
51115 15
490 23
4778 2
10238 93
22905 15
51277 7
9429 34
4781 1
5979 1
1021 8
22 55
2920 3
9771 16
388403 3
25914 5
89782 3
414918 3
57606 1
1859 1
5685 5
6993 9
5697 11
57127 6
11076 1
60625 31
170692 23
976 5
57410 113
23275 30
9491 15
9953 32
3227 2
3159 5
102288414 27
3891 3
6318 14
127833 13
55620 24
5194 1
54856 34
729085 62
55658 20
22888 15
11023 10
29115 3
5828 13
54457 4
1975 7
84335 1
6731 1
284161 3
83732 1
9246 26
1311 2
3681 134
5932 12
51643 103
79922 2
4584 31
126321 103
133584 6
4358 80
8895 17
348110 41
6913 113
57475 36
149699 1
283129 10
85352 29
54780 25
8788 6
10014 37
10092 39
27343 3
57216 1
6360 43
79018 19
4835 74
11116 8
26258 1
3741 1
1212 1
2733 20
84572 100
5213 6
2533 1
9619 21
692312 39
92609 6
6927 114
23162 3
284252 5
8086 1
9150 12
10476 27
60561 338
7551 11
55771 4
63904 6
9759 34
6900 11
23066 8
205428 2
23053 22
6558 24
54955 48
8170 29
129303 58
2316 2
3312 5
121599 38
10533 555
387911 1
8449 13
79810 31
389541 1
1509 1
23499 61
10633 2
55781 6
3714 9
84552 16
56948 24
10637 55
9341 2
83539 103
5595 20
1128 17
55814 30
1385 22
92304 3
84691 71
1629 59
79843 3
114 25
23129 46
9541 1
23373 1
220323 10
9761 33
3269 3
55686 2
23132 5
6484 66
90288 12
293 2
10432 66
100526737 1
85449 1
11285 26
5078 73
63934 18
7917 97
399474 23
10479 180
3680 48
2781 3
131377 17
1263 41
4673 11
10270 16
5917 8
26575 4
5746 24
7753 30
5289 11
9917 72
126119 79
641 33
54822 43
56674 8
170506 96
84814 14
5653 6
767 41
149603 16
83698 61
7520 1
1284 2
57091 3
219988 3
11273 7
29763 1
55870 1
2647 2
23098 1
57215 13
8722 33
9367 2
3053 12
7138 26
5091 3
9235 6
9806 1
129049 12
63027 78
100188893 101
9034 15
9695 13
4645 27
201232 2
81792 18
3981 4
9092 30
7037 9
23564 117
1266 43
119385 1
23451 10
51378 3
8706 1
5178 38
7322 10
650 16
2940 21
342908 2
51550 2
1910 6
11118 1
344657 48
56656 44
5320 35
203859 1
91612 43
637 2
56990 3
92579 9
9657 26
127 4
6455 2
1236 50
125875 20
219793 4
6348 1
3398 1
53346 4
1302 1
23175 6
1114 46
200312 56
64121 27
122706 12
10611 10
158158 8
57089 3
29057 36
727866 17
57124 14
60343 1
80333 28
9980 6
8651 20
389658 26
151636 10
283897 41
4125 27
51138 26
80230 27
11017 16
375387 1
5187 27
2483 32
1749 71
148479 1
117166 9
342931 3
2830 1
2826 1
7979 8
3834 1
57096 15
55695 3
6189 2
6133 8
5949 28
646960 23
6542 41
140886 31
26747 35
3187 14
84803 25
4102 2
373863 1
390 12
51068 141
657 41
8915 36
4814 63
2294 16
55343 6
7813 25
401251 21
7049 7
9794 1
134957 95
152330 14
644 20
10929 22
10461 14
79651 17
7533 57
4318 130
7009 2
644096 63
9179 37
340156 77
29088 2
79446 31
79705 5
333926 13
55613 23
10899 143
509 7
6209 14
9741 11
79064 227
4678 2
6860 2
56957 34
4068 2
7841 22
9815 2
111188157 17
66004 18
6926 8
201134 4
2523 17
441381 14
55544 16
51088 5
55229 2
10200 6
353355 3
84699 1
79094 4
5241 8
254887 90
57665 1
8992 8
3662 2
9663 56
644186 64
7767 1
94101 7
388015 20
2821 8
5202 18
26027 18
10579 14
5356 7
5270 6
1621 13
57715 1
4113 1
65010 117
81554 80
7555 1
55554 25
91369 1
221357 2
1308 1
9444 1
85463 1
90378 1
27327 29
4012 1
169981 39
8539 5
55248 7
3268 1
9582 44
1501 47
3310 1
201305 37
9961 4
401612 24
2295 24
92 21
146760 5
10478 5
10898 47
10549 9
745 1
261734 26
1081 28
6314 31
6723 1
79823 11
134728 33
25927 11
378108 9
50809 120
55718 24
10235 1
221 36
5718 20
51673 30
145773 45
8685 1
51191 1
10928 11
55173 22
23052 13
7084 33
